chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr5	3076000	3078000	chr5	3106000	3108000	0,0,0	9.55231	1.0	2.911837	4.45819	5.4918966	3.1454113	1.7271538	7.1082463
chr5	4568000	4570000	chr5	4606000	4608000	0,0,0	8.761559	1.0	6.083644	0.77789664	1.2543507	2.7495096	0.5048723	3.4409733
chr3	3386000	3388000	chr3	3426000	3428000	0,0,0	7.3037777	1.0	3.2906833	3.1942382	3.467717	3.0601537	1.5213923	5.899477
chr3	2366000	2368000	chr3	2394000	2396000	0,0,0	6.1828513	1.0	2.8871582	1.3593634	2.7073603	2.8583803	0.8743315	4.066704
chr4	5424000	5426000	chr4	5444000	5446000	0,0,0	4.167522	1.0	2.522431	0.895506	1.7073741	2.698139	0.5872885	3.4941444
chr4	732000	734000	chr4	762000	764000	0,0,0	7.102827	1.0	2.6258383	3.5806246	3.9146097	2.6098406	1.3578947	5.7926183
chr4	4062000	4064000	chr4	4096000	4098000	0,0,0	7.4935555	1.0	2.9439101	3.1024666	4.384637	3.4993758	1.2169002	6.257124
chr4	1948000	1950000	chr4	1980000	1982000	0,0,0	4.9724417	1.0	2.8533027	1.4528573	1.6435158	2.2675743	0.6184375	3.559003
chr4	4614000	4616000	chr4	4646000	4648000	0,0,0	4.5074844	1.0	2.6589503	1.4770919	1.7296252	2.5388155	0.8177109	3.8517861
chr4	3108000	3110000	chr4	3134000	3136000	0,0,0	6.33803	1.0	2.8567038	2.2369144	2.6640842	2.4189386	1.105978	4.407307
chr4	3874000	3876000	chr4	3902000	3904000	0,0,0	9.893921	1.0	3.3217869	4.2993565	4.507941	2.592822	2.1959498	6.4144726
chr4	1266000	1268000	chr4	1300000	1302000	0,0,0	14.183046	1.0	7.0983443	3.3433008	4.5019474	4.9379907	1.4587216	7.9098134
chr4	4764000	4766000	chr4	4788000	4790000	0,0,0	5.038049	1.0	2.2336528	2.0923018	3.2972205	3.1339629	1.0113697	4.9937863
chr4	2702000	2704000	chr4	2732000	2734000	0,0,0	5.2737255	1.0	2.8697338	1.5012895	2.0877903	2.6506593	0.6000689	3.985139
chr4	2270000	2272000	chr4	2306000	2308000	0,0,0	7.086321	1.0	3.5786743	1.8261305	2.4978375	2.7869322	0.9174881	4.410159
chr4	4168000	4170000	chr4	4204000	4206000	0,0,0	5.923658	1.0	2.6712515	2.369382	2.5088348	2.1992111	0.9540907	4.3053284
chr4	1202000	1204000	chr4	1238000	1240000	0,0,0	10.289474	1.0	4.6572375	2.4056568	4.870802	4.962982	2.0096037	7.101344
chr4	2134000	2136000	chr4	2168000	2170000	0,0,0	4.908902	1.0	2.423393	1.6013161	2.2041342	2.3746824	0.5419495	3.7980745
chr4	632000	634000	chr4	678000	680000	0,0,0	7.4719906	1.0	3.082498	3.4009328	4.32177	3.5377934	1.5244738	6.560845
chr4	1750000	1752000	chr4	1784000	1786000	0,0,0	7.223214	1.0	4.5630093	1.1137738	1.2140603	2.0874999	0.4891576	3.077521
chr2	4000000	4002000	chr2	4034000	4036000	0,0,0	7.8714294	1.0	3.2886236	3.5353909	4.4849005	3.730685	1.3408014	6.873255
chr2	7764000	7766000	chr2	7802000	7804000	0,0,0	8.060998	1.0	4.226981	2.326465	3.0211525	3.5625238	0.83683157	5.630492
chr2	1204000	1206000	chr2	1236000	1238000	0,0,0	6.9272714	1.0	3.7399297	2.1646307	2.6184328	3.2234638	1.1080883	5.1475797
chr2	8182000	8184000	chr2	8226000	8228000	0,0,0	5.942306	1.0	2.6573062	2.2538202	3.9241316	3.8442433	1.3903396	5.847639
chr2	6388000	6390000	chr2	7058000	7060000	0,0,0	46.13849	1.0	22.110384	19.557745	24.343666	24.549229	11.7266245	41.93389
chr2	8308000	8310000	chr2	8368000	8370000	0,0,0	17.95848	1.0	7.1538076	14.581863	18.263458	14.221719	9.56221	27.183376
chr2	1944000	1946000	chr2	1978000	1980000	0,0,0	4.937447	0.99453366	2.6528966	2.2689164	2.6319706	3.19287	1.0854454	5.2096844
chr2	256000	258000	chr2	290000	292000	0,0,0	6.242194	1.0	2.5304754	2.5611353	3.0214298	2.35377	1.1298599	4.6303344
chr2	1096000	1098000	chr2	1124000	1126000	0,0,0	5.4913287	1.0	3.1068928	0.9716579	2.1544366	3.0278244	0.5563341	3.8915205
chr2	6270000	6272000	chr2	6306000	6308000	0,0,0	8.050202	1.0	4.222883	2.897452	4.231926	5.071471	1.4838195	7.646985
chr2	766000	768000	chr2	802000	804000	0,0,0	11.005802	1.0	4.8815165	3.933307	4.122619	3.5071719	1.6321017	7.0034447
chr2	6392000	6394000	chr2	6430000	6432000	0,0,0	5.3565226	1.0	2.9661431	1.1503791	1.8921309	2.5159607	0.5975915	3.5385196
chr2	8324000	8326000	chr2	8372000	8374000	0,0,0	7.7561746	0.99998564	3.5962543	2.9476552	7.8713	8.531221	1.4635577	11.15136
chr2	2168000	2170000	chr2	2204000	2206000	0,0,0	6.7507715	1.0	4.0798874	1.5499724	2.547923	3.9974742	0.7675073	5.375228
chr2	4306000	4308000	chr2	4332000	4334000	0,0,0	5.3874207	1.0	2.702761	2.200632	2.6262524	2.8299708	0.94769365	4.7860885
