chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr5	2732000	2734000	chr5	2768000	2770000	0,0,0	6.448942	1.0	3.3392386	1.4471114	1.9359629	2.2434986	0.83095145	3.5298195
chr5	4158000	4160000	chr5	4198000	4200000	0,0,0	4.594907	1.0	2.4565914	1.6227022	2.5070279	3.1212337	0.7164331	4.563636
chr5	4572000	4574000	chr5	4604000	4606000	0,0,0	7.2424207	1.0	4.663534	1.0118277	1.2937126	2.3351471	0.45634013	3.2345498
chr5	1548000	1550000	chr5	1578000	1580000	0,0,0	4.6327076	1.0	2.500262	1.2757303	1.9715762	2.494161	0.7261244	3.6281435
chr5	3472000	3474000	chr5	3500000	3502000	0,0,0	5.6632614	1.0	2.6218011	2.192458	2.8130708	2.709834	0.7464929	4.6586857
chr5	1218000	1220000	chr5	1252000	1254000	0,0,0	6.283798	1.0	2.96562	2.7018561	3.039982	2.920132	1.5690508	5.3217816
chr5	2202000	2204000	chr5	2232000	2234000	0,0,0	6.850788	1.0	3.1362424	1.8923056	2.632512	2.542066	0.8606444	4.2241154
chr5	3076000	3078000	chr5	3106000	3108000	0,0,0	7.617243	1.0	3.0413094	2.114355	3.995531	3.503548	1.0857362	5.3829746
chr5	2640000	2642000	chr5	2674000	2676000	0,0,0	6.0038247	1.0	2.8474736	1.8014486	3.3571746	3.5821524	0.97834665	5.1834397
chr5	3948000	3950000	chr5	3986000	3988000	0,0,0	5.6335087	1.0	2.5342157	2.6316936	3.238808	2.959203	1.5897382	5.298486
chr5	3866000	3868000	chr5	3896000	3898000	0,0,0	5.769211	1.0	2.9041576	2.040742	2.990249	3.3546343	1.1186821	5.1686273
chr3	5834000	5836000	chr3	5864000	5866000	0,0,0	4.844192	1.0	2.4471338	1.9627328	1.9892901	2.0975065	1.5353403	3.842158
chr3	5904000	5906000	chr3	5936000	5938000	0,0,0	6.2677684	1.0	2.6071844	3.1978693	3.542977	2.7921011	1.5409939	5.6346517
chr3	3390000	3392000	chr3	3424000	3426000	0,0,0	6.896535	1.0	3.5405538	2.070552	2.948732	3.3992712	0.9427056	5.239762
chr3	2368000	2370000	chr3	2394000	2396000	0,0,0	6.984788	1.0	2.819513	2.6691017	3.2606018	2.5590835	1.0555292	4.931618
chr3	410000	412000	chr3	436000	438000	0,0,0	4.4188504	1.0	2.750408	0.7546842	1.6611683	2.7845118	0.5464731	3.455342
chr3	3930000	3932000	chr3	3962000	3964000	0,0,0	5.9597797	1.0	2.442913	2.3717923	2.7959685	2.2103186	1.107693	4.3185787
chr3	5386000	5388000	chr3	5420000	5422000	0,0,0	4.563588	0.99037373	2.6704445	1.7000091	2.1599884	3.1326249	1.0330722	4.643744
chr4	1264000	1266000	chr4	1300000	1302000	0,0,0	10.585055	1.0	6.238955	2.084197	3.2716963	4.87146	1.0403923	6.724079
chr4	3106000	3108000	chr4	3138000	3140000	0,0,0	6.0185943	1.0	2.9753573	1.760486	2.2290845	2.3706765	0.81299263	3.935553
chr4	1750000	1752000	chr4	1782000	1784000	0,0,0	5.4678864	1.0	3.7425153	0.5516794	0.8313435	1.755239	0.3229888	2.2456207
chr4	2270000	2272000	chr4	2306000	2308000	0,0,0	7.428371	1.0	3.8563025	1.9452534	2.7165792	3.180944	0.9458285	4.910058
chr4	1204000	1206000	chr4	1238000	1240000	0,0,0	8.215156	1.0	3.777464	2.5083952	3.891537	3.866892	1.435168	6.0965767
chr1	4872000	4874000	chr1	4900000	4902000	0,0,0	6.474497	1.0	3.426334	1.9676325	2.3797274	2.8234005	0.9844141	4.5724072
chr1	626000	628000	chr1	656000	658000	0,0,0	5.701098	1.0	3.20677	1.4659064	2.3081844	3.145548	0.9197381	4.448576
chr1	2202000	2204000	chr1	2252000	2254000	0,0,0	7.9513707	0.99984723	4.4952655	1.9980834	4.969106	7.011614	0.9058938	8.787687
